,id,tvi_25,tvi_50,tvi_75,tvi_100,tvi_200,prop_main_tvi_200,nearest_intersect_meter,nearest_street_meter,pop_200,pop_500
0,MC 042,0.0,0.0,0.0,0.0,0.989238281080825,0.11311053984575833,155.0073901423059,154.09674457656666,2984.0,19158.0
1,MC 124,7.356093883080436,7.878517518682939,7.976513936163001,8.777857105427168,10.390356898483954,0.08044463551457302,74.62593584104475,10.254152058577835,702.0,6332.0
2,MC 143,2.272461303228016,4.782302984132451,5.2076258211972375,5.316963377687177,5.356685871076415,0.03974922338527936,33.83042633586323,7.490619262978312,1995.0,12259.0
3,MC 171,0.0,0.0,0.3779077593763688,2.1048882299658427,6.336192213053841,0.032524809297378214,76.89529863446445,74.31322927051714,787.0,7917.0
4,MC 174,6.093263171515184,7.654615970607743,8.028281560244267,8.162585830441447,8.543937962339314,0.028150949839988035,36.32191294671083,16.057955745291366,3698.0,21292.0
5,MC 190,7.164048055582426,7.540995953026298,7.607792926717905,7.633030859775668,9.697491748114961,0.05555029828240803,124.5924496785864,8.808253398687985,667.0,4102.0
6,MC 221,2.6622572219425664,2.87131650245786,3.6135030032750914,3.855697495489171,4.014629116603976,0.029238568734144536,82.57370096096284,10.557239645722886,3687.0,22503.0
7,MC 145,0.0,0.0,0.0,0.0,0.0,0.0,336.0328147867239,300.1678064951607,12.0,27.0
8,MC 077,0.0,0.0,1.089437056013034,1.4490720368024408,2.601384406444557,0.029131099165475953,161.0360306813193,59.25229044132517,0.0,189.0
9,MC 010,0.0,1.6458698849702391,4.07953397289587,5.726343727691866,6.792305977230261,0.03771912925309219,53.321893781787566,41.759902417693255,1585.0,11119.0
10,MC 018,0.0,0.0,0.0,0.0,0.0,0.0,224.50950907535636,224.50950907535636,1663.0,13318.0
11,MC 115,1.6256567667102504,1.7873860022282246,4.601424102679856,5.199811652818179,7.92489925054209,0.17999834291274194,11.421479436655243,8.784620870414338,29.0,1633.0
12,MC 117,5.162297558855271,5.638561322655787,5.718212102053158,5.746737964245945,7.208831842127544,0.018522072480318078,107.1871924631744,11.285559934744837,2393.0,13242.0
13,MC 282,0.0,0.0,0.0,0.0,0.8113690444309276,0.019629365962072962,106.47285148354693,102.64130368499126,943.0,6389.0
14,MC 027,0.0,0.0,0.0,0.0,0.0,0.0,987.1365959163791,980.8849706925872,19.0,31.0
15,MC 032,0.0,0.0,0.0,0.0,0.0,0.0,874.0938433802987,862.2803132683036,0.0,0.0
